target_id	length	eff_length	est_counts	tpm
h1SMnT0034940.1	538	354.675	85.3965	14.1755
h1SMnT0034941.1	1358	1173.71	0	0
h1SMnT0034942.1	363	185.511	241.235	76.5596
h1SMnT0034943.1	3291	3106.71	0	0
h1SMnT0034944.1	819	634.755	0	0
h1SMnT0034945.1	1777	1592.71	4323.28	159.81
h1SMnT0034946.1	565	381.374	27.4328	4.23495
h1SMnT0035409.1	285	116.154	0	0
h1SMcT0023034.1	1780	1595.71	28.7586	1.06107
h1SMcT0023035.1	984	799.711	32.0143	2.35689
h1SMnT0035097.1	1121	936.711	4	0.25141
h1SMnT0035098.1	441	259.563	0	0
h1SMnT0035099.1	936	751.711	22.476	1.76034
h1SMcT0022803.1	2566	2381.71	66	1.63149
h1SMnT0035100.1	1483	1298.71	9.74851	0.44193
h1SMcT0022963.1	675	490.895	7.05207	0.845778
h1SMnT0035385.1	469	286.746	0	0
h1SMnT0035392.1	1159	974.711	56.9765	3.4415
h1SMcT0023020.1	1397	1212.71	76.6451	3.72096
h1SMcT0023073.1	1004	819.711	0	0
h1SMnT0035475.1	363	185.511	5.65422	1.79445
h1SMnT0035466.1	166	30.1156	1.14622	2.24081
h1SMcT0022905.1	925	740.741	0	0
h1SMnT0035225.1	548	364.56	2.15416	0.347886
h1SMcT0022907.1	1385	1200.71	5.57291	0.273257
h1SMcT0022989.1	1264	1079.71	32.9255	1.79537
h1SMnT0035355.1	320	146.324	103.842	41.7818
h1SMnT0035356.1	286	116.984	890.623	448.223
h1SMnT0035357.1	450	268.276	1522.32	334.081
h1SMnT0035135.1	266	100.352	0	0
h1SMnT0035172.1	307	134.918	52.5013	22.9102
h1SMcT0022806.1	1059	874.711	0	0
h1SMcT0022807.1	3774	3589.71	0	0
h1SMcT0022808.1	3496	3311.71	22.0328	0.391693
h1SMcT0022913.1	829	644.755	1.78197	0.162718
h1SMcT0022914.1	1915	1730.71	0	0
h1SMcT0022915.1	1230	1045.71	0.82312	0.0463425
h1SMnT0035233.1	829	644.755	163.676	14.9458
