gene	Currie_et_al_Lhx_LFC	This_study_Lhx_LFC	Currie_et_al_Pitx_LFC	This_study_Litx_LFC
h1SMcG0000149	-0.0342959241060896	0.177286474388612	-0.125475019253085	0.0722369063901066
h1SMcG0000150	0.24388248400286	-0.66297116659612	0.00849642029012117	-0.28995517879231
h1SMcG0000153	0.216597090497247	-0.30503751179156	-0.0890666902496474	-0.169261969958794
h1SMcG0000154	0.12704031492398	0.35583634832603	-0.0868931796132342	-0.141243018628919
h1SMcG0000155	-0.0922941265101504	-0.170382841715328	-0.0935726961420425	-0.137555505253157
h1SMcG0000156	0.0926847053533638	-0.0787919836346733	0.15069029518145	-0.104044211086172
h1SMcG0000157	-0.492441569667417	0.367811620548956	NA	NA
h1SMcG0000158	-0.844012066650167	0.679452999850846	-0.200370132837225	0.924856150803598
h1SMcG0000160	-0.0876708397166682	-0.0449214287310589	0.160582211530725	-0.0177446009042683
h1SMcG0000163	0.0985848651134613	-0.121968457843865	-0.0604860635750001	-0.0678085513625559
h1SMcG0000169	-0.00289215680354026	0.0706905368709217	0.00153019577885566	0.0008143302703239
h1SMcG0000170	0.0204856798788984	0.13503997247915	0.0301961987054941	0.0998883783982861
h1SMcG0000171	0.0544781910265719	-0.160460229992539	0.0883752006665272	-0.0386700420468507
h1SMcG0000173	1.38074843395985	0.0539255861128584	1.08597039253065	0.307086239596502
h1SMcG0000174	0.0902432734907124	-0.0598055093805353	0.0641732716829012	-0.0316557730761985
h1SMcG0000176	0.0728437762680001	-0.18204526504588	0.178117680609294	-0.0188235335773395
h1SMcG0000178	0.0351092767271732	0.344738214671341	0.174715677589538	0.22054702632351
h1SMcG0000182	0.0297473463890031	-0.813277387611126	0.0310203372657209	-0.546352251603635
h1SMcG0000188	-0.247968628804505	-0.151092122929959	-0.213171396801688	-0.188675835544312
h1SMcG0000190	0.000482814201167432	-0.226956816445059	0.230037745619344	-0.0391847414359807
h1SMcG0000191	0.117545014294125	0.715389559924433	0.0424753195392099	0.536435584953119
h1SMcG0000194	-0.158960347885633	-0.060882023434403	0.00730910948503903	-0.187922331258366
h1SMcG0000195	-0.0152843222545388	-0.0531800481519245	-0.0873691905550057	-0.0444884255874723
h1SMcG0000201	-0.219237193627496	-1.39894446132047	0.185686787836949	-0.764706489744531
h1SMcG0000202	0.0448987163162033	0.0566530429795081	0.00831697547835199	0.203748768146551
h1SMcG0000204	0.209656556685206	-0.893528425540078	0.105653420590453	0.550117114081117
h1SMcG0000207	-0.415262732652698	0.150404866514257	0.0402399386976262	0.399142752649534
h1SMcG0000208	-1.102678493256	0.0630250070013283	0.0806269127423584	-0.104878702034458
h1SMcG0000211	-0.0790098517200963	0.00788159792854692	-0.102872275676753	-0.0322282317304466
h1SMcG0000216	-0.818324705164135	1.0614156786786	0.722997909139625	0.859714107398914
h1SMcG0000221	0.43384341156649	-0.633151597906507	0.659491321817051	-0.497678830357862
h1SMcG0000224	0.047053698332296	0.634769105729061	-0.0614327825603698	0.680910530323564
h1SMcG0000226	0.0199869380772629	0.101944386462094	-0.123073734600217	0.136923873860541
h1SMcG0000231	0.118739893218207	0.17774528961221	-0.0115000517142634	0.12098883910574
h1SMcG0000234	0.0804312423387903	-0.100844423984443	0.083748767271627	-0.00327554610184155
h1SMcG0000236	0.367845107322444	0.43285397105115	1.02995691662009	-0.34749416926019
h1SMcG0000237	0.160961459797565	-0.470023653252526	-0.0338597119655486	-0.0543942556957394
h1SMcG0000238	-0.0750803097624822	-0.115604689457919	-0.0222833264320615	0.382546128104182
h1SMcG0000240	0.19264793801473	-0.15653161279522	0.125176775668012	-0.059339680251559
h1SMcG0000242	4.60810589204494	0.00800096349337007	4.03624385042226	0.504864024539182
h1SMcG0000248	0.0706259697494753	0.273349951680797	0.168285160654276	0.183154890799328
h1SMcG0000252	0.152630674479959	-0.992958595756382	0.0875432941902013	0.549312776543134
h1SMcG0000254	0.35311433958524	0.187371792102245	0.283297811788488	0.177781288666003
h1SMcG0000255	0.154714441989452	0.0141924654934926	0.030351945513983	0.101478395449587
h1SMcG0000257	0.460547222578924	1.00912159313365	0.245366278533133	0.636859173766868
h1SMcG0000264	-0.0434196099974087	0.04954963319813	-0.0118136375090915	0.162211194639213
h1SMcG0000265	0.203244597909771	0.189520458695717	0.0653185494348743	-0.0647600076852549
h1SMcG0000270	-1.00133053101658	-1.33126230208547	-1.29610857244578	-0.844111677909774
h1SMcG0000274	0.0544481668857319	-0.226347875387272	0.165941033736496	-0.0764715393530049
h1SMcG0000275	0.0403545187180157	0.230893280055644	-0.595587714807277	0.535743915547954
h1SMcG0000280	-0.0988442731690842	-0.605984768618551	0.415614225707194	0.337428645370122
h1SMcG0000282	-0.0203228490309951	-0.801937112489241	0.234176502423416	-0.401896250264302
h1SMcG0000284	0.0650643141380799	-0.131820383243484	0.063719503577576	-0.0500918604219733
h1SMcG0000285	0.0281958736725042	0.119332454158897	-0.106721128737573	0.169114288105565
h1SMcG0000286	0.325085768378722	-0.0884093669485965	0.347186247699573	0.199984435793725
h1SMcG0000287	0.541634165075294	1.33818262902034	0.0250473458637276	0.30903960159667
h1SMcG0000288	0.0153593050972244	0.0334124128070734	0.0170564695162837	-0.0648300067032633
h1SMcG0000292	0.186329361295403	-0.75518401599828	-0.0396845136503151	0.48245249785165
h1SMcG0000293	-0.0935398395391572	-0.1656549430143	-0.0446781642803219	-0.0516320162447676
h1SMcG0000295	-0.37240792518649	-0.290688356141106	-0.452149845635871	-0.093123387793081
h1SMcG0000299	0.200343560724461	-0.0671729775032823	0.223863738032071	0.156536735265859
h1SMcG0000301	-0.460074135815667	-0.73105809263379	-0.68491959265203	-1.39567464812823
h1SMcG0000302	0.075067305925587	-0.362536025822767	0.714546571131392	0.114170068265428
h1SMcG0000316	-0.0523869581271612	0.235167711735135	0.344277419043827	1.04181665554254
h1SMcG0000319	-0.0848713218573032	-0.136438108619039	0.212269476303508	-0.11772172179402
h1SMcG0000321	-2.97903347093181	0.490851874589161	-3.273811512361	0.763500361322471
h1SMcG0000322	0.894489216325403	0.308525123217626	-0.414952492428591	-0.371066127069503
h1SMcG0000323	-0.858470065673988	-0.267431540223405	1.27539094886836	-0.552851265578606
h1SMcG0000325	0.191145597049791	0.312714523462861	0.125410852041773	-0.450425982880341
h1SMcG0000327	-1.13446104466719	0.223880100493373	0.218931323255436	0.0120998873393448
h1SMcG0000329	-1.08234507822625	-1.46077897864702	-0.56667658265525	-1.0206981182031
h1SMcG0000331	-1.76280433056361	-0.445266012607642	0.145802701509919	-0.478746471306929
h1SMcG0000333	-0.0916605367074181	0.122583164630638	-0.0819980418443008	-0.0131056361076834
h1SMcG0000334	0.0448198254992998	0.0878438532102294	0.0578356769356332	0.0696181298669939
h1SMcG0000337	0.565317588115498	0.139153135840141	0.143095139130115	0.44529661741053
h1SMcG0000338	0.0761198382989716	-0.148629829339306	-0.12034438780974	-0.122983311956787
h1SMcG0000340	0.0863800171199898	1.07011835624161	-0.0598521786265928	0.992605939270475
h1SMcG0000345	-0.00477076314031076	0.667438277351106	0.0782412336159761	0.0743827298617224
h1SMcG0000347	0.264135053566093	-0.18840014815405	0.167829880449308	0.460409197254413
h1SMcG0000349	1.05767967987016	0.0739086929079011	0.0907573160165663	0.14790676128601
h1SMcG0000350	0.14562366289021	-0.0864123061222982	0.275173062258343	0.0659654401151605
h1SMcG0000352	0.115006064936803	0.609593083569206	-0.0418717785012015	0.328716717299277
h1SMcG0000353	0.292672047024534	0.0817839938845943	0.124376672739353	0.0600706000154845
h1SMcG0000355	0.168978458182074	-0.130001830877333	0.162878943079303	-0.143356822463686
h1SMcG0000357	0.311069899507045	-0.0550329042422624	0.295007416766525	0.015181913988619
h1SMcG0000358	0.262105583247261	-0.161010654104405	0.174657516613429	-0.260698817352632
h1SMcG0000359	-0.205071785835626	-0.854420437424715	0.0325630341602915	-0.540350228189933
h1SMcG0000360	0.182921776253424	-0.171044978139032	0.113376392675151	-0.884580901368394
h1SMcG0000363	-0.10537301227609	-0.0596745809610235	0.275552355116643	-0.0685415665715291
h1SMcG0000365	0.0505270338893414	-0.110388170797531	0.0244301676536518	-0.242432567029942
h1SMcG0000366	-0.40378648526572	-0.349818837458913	-0.593219666408931	-0.42247137757849
